FILENAME,PART,CONTROL,MEDIA,TIME,REGULATION
Plate_4_Specimen_001_A2_A02_002.fcs,EXPRESSEE_araC_rfp_BCD8_M,,M9_glucose,0,
Plate_4_Specimen_001_A3_A03_003.fcs,EXPRESSEE_araC_rfp_BCD8_M,,M9_glucose,0,
Plate_4_Specimen_001_B1_B01_013.fcs,EXPRESSEE_araC_rfp_BCD8_M,,M9_glucose,20,
Plate_4_Specimen_001_B2_B02_014.fcs,EXPRESSEE_araC_rfp_BCD8_M,,M9_glucose,20,
Plate_4_Specimen_001_B3_B03_015.fcs,EXPRESSEE_araC_rfp_BCD8_M,,M9_glucose,20,
Plate_4_Specimen_001_C1_C01_001.fcs,EXPRESSEE_araC_rfp_BCD8_M,,M9_glucose,40,
Plate_4_Specimen_001_C2_C02_002.fcs,EXPRESSEE_araC_rfp_BCD8_M,,M9_glucose,40,
Plate_4_Specimen_001_C3_C03_003.fcs,EXPRESSEE_araC_rfp_BCD8_M,,M9_glucose,40,
Plate_4_Specimen_001_D1_D01_013.fcs,EXPRESSEE_araC_rfp_BCD8_M,,M9_glucose,60,
Plate_4_Specimen_001_D2_D02_014.fcs,EXPRESSEE_araC_rfp_BCD8_M,,M9_glucose,60,
Plate_4_Specimen_001_D3_D03_015.fcs,EXPRESSEE_araC_rfp_BCD8_M,,M9_glucose,60,
Plate_4_Specimen_001_A4_A04_004.fcs,EXPRESSEE_araC_gfp_BCD8_M,,M9_glucose,0,
Plate_4_Specimen_001_A5_A05_005.fcs,EXPRESSEE_araC_gfp_BCD8_M,,M9_glucose,0,
Plate_4_Specimen_001_A6_A06_006.fcs,EXPRESSEE_araC_gfp_BCD8_M,,M9_glucose,0,
Plate_4_Specimen_001_B4_B04_016.fcs,EXPRESSEE_araC_gfp_BCD8_M,,M9_glucose,20,
Plate_4_Specimen_001_B5_B05_017.fcs,EXPRESSEE_araC_gfp_BCD8_M,,M9_glucose,20,
Plate_4_Specimen_001_B6_B06_018.fcs,EXPRESSEE_araC_gfp_BCD8_M,,M9_glucose,20,
Plate_4_Specimen_001_C4_C04_004.fcs,EXPRESSEE_araC_gfp_BCD8_M,,M9_glucose,40,
Plate_4_Specimen_001_C5_C05_005.fcs,EXPRESSEE_araC_gfp_BCD8_M,,M9_glucose,40,
Plate_4_Specimen_001_C6_C06_006.fcs,EXPRESSEE_araC_gfp_BCD8_M,,M9_glucose,40,
Plate_4_Specimen_001_D4_D04_016.fcs,EXPRESSEE_araC_gfp_BCD8_M,,M9_glucose,60,
Plate_4_Specimen_001_D5_D05_017.fcs,EXPRESSEE_araC_gfp_BCD8_M,,M9_glucose,60,
Plate_4_Specimen_001_D6_D06_018.fcs,EXPRESSEE_araC_gfp_BCD8_M,,M9_glucose,60,
Plate_9_Specimen_001_B1_B01_005.fcs,pTet_bfp,,M9_glucose,0,
Plate_9_Specimen_001_B2_B02_006.fcs,pTet_bfp,,M9_glucose,0,
Plate_9_Specimen_001_B3_B03_007.fcs,pTet_bfp,,M9_glucose,0,
negative.fcs,,negative,,,
YFP-A_positive.fcs,,YFP-A,,,
Pacific_Blue-A_positive.fcs,,Pacific_Blue-A,,,
PE-Texas_Red-A_positive.fcs,,PE-Texas_Red-A,,,
Pacific_Orange-A_positive.fcs,,Pacific_Orange-A,,,
beads.fcs,,beads,,,
